CustomerID,Customer_Type,Country,CustomerTier,ProductTier,Customer_govt_id,Customer_Phone,ZipCode,SSN_Individual,LoanAmount,InterestEarned,QSDate,TransactionDate,ClosingDate
,Individual,USA,Gold,IRALoan,ABC1310,312-435-1310,60029,IL6865,1020.4,102.4,1/1/2022,1/18/2022,1/20/2022
,Individual,Canada,Silver,ProdTier28,ABC1311,312-435-1311,80018,IL6866,507.7,50.4,1/1/2022,1/30/2022,2/4/2022
,Individual,USA,Platinum,ProdTier8,ABC1312,312-435-1312,60018,IL6867,1019.9,102.3,1/1/2022,4/5/2022,4/7/2022
,Individual,Canada,Gold,StockLoan,ABC1313,312-435-1313,80014,IL6868,516,51.3,1/1/2022,3/27/2022,3/29/2022
,Individual,USA,Silver,CreditCard,ABC1314,312-435-1314,60013,IL6869,1019,101.4,1/1/2022,2/14/2022,2/15/2022
,Individual,Canada,Platinum,ProdTier7,ABC1315,312-435-1315,80024,IL6870,508.6,50.5,1/1/2022,1/29/2022,2/2/2022
,Individual,USA,Gold,ProdTier1,ABC1316,312-435-1316,60044,IL6871,1009.8,100.8,1/1/2022,2/1/2022,2/6/2022
,Individual,Canada,Silver,ProdTier1,ABC1317,312-435-1317,80023,IL6872,505.4,50.8,1/1/2022,3/14/2022,3/16/2022
,Individual,USA,Platinum,BoatLoan,ABC1318,312-435-1318,60036,IL6873,1009.2,100.5,1/1/2022,4/22/2022,4/27/2022
,Individual,Canada,Gold,ProdTier17,ABC1319,312-435-1319,80001,IL6874,506.8,50.3,1/1/2022,2/7/2022,2/10/2022
,Individual,USA,Silver,IRALoan,ABC1320,312-435-1320,60041,IL6875,1007.8,100.7,1/1/2022,3/24/2022,3/29/2022
,Individual,Canada,Platinum,ProdTier24,ABC1321,312-435-1321,80021,IL6876,519.6,52.2,1/1/2022,3/27/2022,3/31/2022
,Individual,USA,Gold,HomeLoan,ABC1322,312-435-1322,60019,IL6877,1007.1,100.3,1/1/2022,3/4/2022,3/8/2022
,Individual,Canada,Silver,BoatLoan,ABC1323,312-435-1323,80011,IL6878,523,51.5,1/1/2022,4/30/2022,5/1/2022
,Individual,USA,Platinum,ProdTier15,ABC1324,312-435-1324,60009,IL6879,1017.6,101.5,1/1/2022,4/26/2022,4/29/2022
,Individual,Canada,Gold,BoatLoan,ABC1325,312-435-1325,80010,IL6880,508.2,51,1/1/2022,4/23/2022,4/26/2022
,Individual,USA,Silver,ProdTier3,ABC1326,312-435-1326,60014,IL6881,1015.3,101.5,1/1/2022,2/28/2022,3/5/2022
,Individual,Canada,Platinum,IRALoan,ABC1327,312-435-1327,80022,IL6882,1521.3,52.4,1/1/2022,2/5/2022,2/8/2022
,Individual,USA,Gold,IRALoan,ABC1328,312-435-1328,60039,IL6883,1013,100.9,1/1/2022,3/21/2022,3/24/2022
,Individual,Canada,Silver,ProdTier20,ABC1329,312-435-1329,80001,IL6884,508.1,50.2,1/1/2022,1/8/2022,1/13/2022
,Individual,USA,Platinum,ProdTier16,ABC1330,312-435-1330,60031,IL6885,1017.3,101.8,1/1/2022,1/4/2022,1/7/2022
,Individual,Canada,Gold,ProdTier26,ABC1331,312-435-1331,80011,IL6886,511.7,50.2,1/1/2022,4/8/2022,4/11/2022
,Individual,USA,Silver,BikeLoan,ABC1332,312-435-1332,60018,IL6887,1024.9,102.3,1/1/2022,1/13/2022,1/17/2022
,Individual,Canada,Platinum,ProdTier28,ABC1333,312-435-1333,80037,IL6888,506.3,50.2,1/1/2022,1/10/2022,1/12/2022
,Individual,USA,Gold,ProdTier27,ABC1334,312-435-1334,60042,IL6889,1025.1,101.9,1/1/2022,1/5/2022,1/8/2022
,Individual,Canada,Silver,HomeLoan,ABC1335,312-435-1335,80016,IL6890,519.6,51.7,1/1/2022,3/5/2022,3/6/2022
,Individual,USA,Platinum,ProdTier16,ABC1336,312-435-1336,60044,IL6891,1005.3,101.3,1/1/2022,3/17/2022,3/19/2022
,Individual,Canada,Gold,ProdTier8,ABC1337,312-435-1337,80035,IL6892,515.1,51.5,1/1/2022,4/19/2022,4/21/2022
,Individual,USA,Silver,ProdTier9,ABC1338,312-435-1338,60004,IL6893,1018.1,102.6,1/1/2022,3/30/2022,4/3/2022
,Individual,Canada,Platinum,ProdTier5,ABC1339,312-435-1339,80020,IL6894,509.4,51,1/1/2022,4/17/2022,4/18/2022
,Individual,USA,Gold,BikeLoan,ABC1340,312-435-1340,60036,IL6895,1005.9,100.5,1/1/2022,1/18/2022,1/22/2022
,Individual,Canada,Silver,BikeLoan,ABC1341,312-435-1341,80020,IL6896,506.5,51.1,1/1/2022,2/27/2022,3/1/2022
,Individual,USA,Platinum,ProdTier4,ABC1342,312-435-1342,60004,IL6897,1021.1,102.5,1/1/2022,4/19/2022,4/23/2022
,Individual,Canada,Gold,ProdTier10,ABC1343,312-435-1343,80035,IL6898,509.3,51,1/1/2022,1/25/2022,1/26/2022
,Individual,USA,Silver,ProdTier6,ABC1344,312-435-1344,60040,IL6899,1018.8,101.4,1/1/2022,2/20/2022,2/22/2022
,Individual,Canada,Platinum,HomeLoan,ABC1345,312-435-1345,80037,IL6900,508.9,51.1,1/1/2022,3/16/2022,3/18/2022
,Individual,USA,Gold,ProdTier9,ABC1346,312-435-1346,60037,IL6901,1020.6,102.6,1/1/2022,4/15/2022,4/19/2022
,Individual,Canada,Silver,IRALoan,ABC1347,312-435-1347,80008,IL6902,513.6,51.4,1/1/2022,3/27/2022,3/29/2022
,Individual,USA,Platinum,ProdTier4,ABC1348,312-435-1348,60035,IL6903,1013.7,100.9,1/1/2022,3/21/2022,3/23/2022
,Individual,Canada,Gold,CreditCard,ABC1349,312-435-1349,80003,IL6904,512.1,51.2,1/1/2022,1/19/2022,1/21/2022
,Individual,USA,Silver,ProdTier30,ABC1350,312-435-1350,60018,IL6905,1016.4,101.5,1/1/2022,3/14/2022,3/18/2022
,Individual,Canada,Platinum,ProdTier29,ABC1351,312-435-1351,80023,IL6906,509.1,50.7,1/1/2022,3/29/2022,3/30/2022
,Individual,USA,Gold,ProdTier26,ABC1352,312-435-1352,60022,IL6907,1011,100.9,1/1/2022,3/27/2022,3/31/2022
,Individual,Canada,Silver,ProdTier3,ABC1353,312-435-1353,80010,IL6908,520.1,51.5,1/1/2022,4/30/2022,5/4/2022
,Individual,USA,Platinum,BondLoan,ABC1354,312-435-1354,60040,IL6909,1025.8,102.6,1/1/2022,4/7/2022,4/12/2022
,Individual,Canada,Gold,ProdTier24,ABC1355,312-435-1355,80010,IL6910,505.2,50.3,1/1/2022,3/6/2022,3/7/2022
,Individual,USA,Silver,ProdTier26,ABC1356,312-435-1356,60018,IL6911,1009.4,100.3,1/1/2022,3/19/2022,3/20/2022
,Individual,Canada,Platinum,StockLoan,ABC1357,312-435-1357,80002,IL6912,513.4,51.6,1/1/2022,1/14/2022,1/16/2022
,Individual,USA,Gold,ProdTier6,ABC1358,312-435-1358,60016,IL6913,1019.9,102,1/1/2022,4/22/2022,4/26/2022
,Individual,Canada,Silver,ProdTier30,ABC1359,312-435-1359,80037,IL6914,506.9,50.8,1/1/2022,2/22/2022,2/27/2022
,Individual,USA,Platinum,ProdTier20,ABC1360,312-435-1360,60029,IL6915,1019.7,101.3,1/1/2022,3/26/2022,3/29/2022
,Individual,Canada,Gold,ProdTier6,ABC1361,312-435-1361,80022,IL6916,507.7,51,1/1/2022,2/8/2022,2/13/2022
,Individual,USA,Silver,ProdTier10,ABC1362,312-435-1362,60036,IL6917,1019.7,102,1/1/2022,1/27/2022,1/30/2022
,Individual,Canada,Platinum,ProdTier4,ABC1363,312-435-1363,80005,IL6918,508.7,50.7,1/1/2022,1/24/2022,1/25/2022
,Individual,USA,Gold,ProdTier20,ABC1364,312-435-1364,60041,IL6919,1003,100.6,1/1/2022,1/11/2022,1/12/2022
,Individual,Canada,Silver,ProdTier5,ABC1365,312-435-1365,80037,IL6920,501.5,50.9,1/1/2022,4/12/2022,4/13/2022
,Individual,USA,Platinum,ProdTier8,ABC1366,312-435-1366,60012,IL6921,1003.9,101,1/1/2022,3/25/2022,3/30/2022
,Individual,Canada,Gold,ProdTier9,ABC1367,312-435-1367,80001,IL6922,515.6,51.2,1/1/2022,2/10/2022,2/13/2022
,Individual,USA,Silver,ProdTier13,ABC1368,312-435-1368,60018,IL6923,1010.3,100.8,1/1/2022,2/13/2022,2/17/2022
,Individual,Canada,Platinum,ProdTier18,ABC1369,312-435-1369,80016,IL6924,506.6,50.7,1/1/2022,1/2/2022,1/4/2022
,Individual,USA,Gold,ProdTier27,ABC1370,312-435-1370,60037,IL6925,1005.9,100.8,1/1/2022,2/23/2022,2/27/2022
,Individual,Canada,Silver,ProdTier27,ABC1371,312-435-1371,80016,IL6926,511.9,51.6,1/1/2022,1/8/2022,1/12/2022
,Individual,USA,Platinum,HomeLoan,ABC1372,312-435-1372,60024,IL6927,1009.3,100.9,1/1/2022,3/21/2022,3/23/2022
,Individual,Canada,Gold,BondLoan,ABC1373,312-435-1373,80030,IL6928,515.3,51.3,1/1/2022,1/17/2022,1/20/2022
,Individual,USA,Silver,ProdTier9,ABC1374,312-435-1374,60017,IL6929,1019.6,101.4,1/1/2022,4/25/2022,4/28/2022
,Individual,Canada,Platinum,CreditCard,ABC1375,312-435-1375,80031,IL6930,519.7,51.6,1/1/2022,1/19/2022,1/20/2022
,Individual,USA,Gold,ProdTier1,ABC1376,312-435-1376,60048,IL6931,1017.8,102,1/1/2022,3/16/2022,3/21/2022
,Individual,Canada,Silver,ProdTier7,ABC1377,312-435-1377,80008,IL6932,511.6,50.9,1/1/2022,4/17/2022,4/19/2022
,Individual,USA,Platinum,ProdTier5,ABC1378,312-435-1378,60020,IL6933,1027.7,102.8,1/1/2022,1/2/2022,1/6/2022
,Individual,Canada,Gold,ProdTier6,ABC1379,312-435-1379,80042,IL6934,503.8,50.4,1/1/2022,3/16/2022,3/20/2022
,Individual,USA,Silver,ProdTier24,ABC1380,312-435-1380,60020,IL6935,1021.9,102.2,1/1/2022,4/28/2022,4/30/2022
,Individual,Canada,Platinum,ProdTier18,ABC1381,312-435-1381,80017,IL6936,513.1,50.9,1/1/2022,4/9/2022,4/11/2022
,Individual,USA,Gold,ProdTier18,ABC1382,312-435-1382,60038,IL6937,1024.9,102.1,1/1/2022,4/16/2022,4/21/2022
,Individual,Canada,Silver,BondLoan,ABC1383,312-435-1383,80003,IL6938,511.3,51.2,1/1/2022,4/30/2022,5/4/2022
,Individual,USA,Platinum,ProdTier28,ABC1384,312-435-1384,60021,IL6939,1016.3,101.3,1/1/2022,1/25/2022,1/26/2022
,Individual,Canada,Gold,ProdTier15,ABC1385,312-435-1385,80007,IL6940,507.9,51.3,1/1/2022,3/9/2022,3/12/2022
,Individual,USA,Silver,CreditCard,ABC1386,312-435-1386,60028,IL6941,1022.1,101.9,1/1/2022,1/26/2022,1/27/2022
,Individual,Canada,Platinum,ProdTier25,ABC1387,312-435-1387,80016,IL6942,508.4,50.5,1/1/2022,4/21/2022,4/24/2022
,Individual,USA,Gold,BikeLoan,ABC1388,312-435-1388,60003,IL6943,1013.1,101.3,1/1/2022,2/6/2022,2/7/2022
,Individual,Canada,Silver,ProdTier20,ABC1389,312-435-1389,80016,IL6944,519.2,51.6,1/1/2022,3/6/2022,3/8/2022
,Individual,USA,Platinum,ProdTier4,ABC1390,312-435-1390,60019,IL6945,1014.2,101.4,1/1/2022,3/3/2022,3/4/2022
,Individual,Canada,Gold,ProdTier20,ABC1391,312-435-1391,80016,IL6946,521.7,51.6,1/1/2022,3/26/2022,3/30/2022
,Individual,USA,Silver,BoatLoan,ABC1392,312-435-1392,60050,IL6947,1024.6,102.7,1/1/2022,4/10/2022,4/15/2022
,Individual,Canada,Platinum,StockLoan,ABC1393,312-435-1393,80008,IL6948,509.5,50.3,1/1/2022,3/9/2022,3/11/2022
,Individual,USA,Gold,ProdTier28,ABC1394,312-435-1394,60011,IL6949,1004.2,100.4,1/1/2022,4/27/2022,4/28/2022
,Individual,Canada,Silver,ProdTier15,ABC1395,312-435-1395,80039,IL6950,511.5,51,1/1/2022,1/31/2022,2/3/2022
,Individual,USA,Platinum,BoatLoan,ABC1396,312-435-1396,60031,IL6951,1017.7,102.2,1/1/2022,2/4/2022,2/9/2022
,Individual,Canada,Gold,BoatLoan,ABC1397,312-435-1397,80039,IL6952,509.5,50.8,1/1/2022,1/12/2022,1/17/2022
CRN-1000,Individual,USA,Silver,ProdTier8,ABC1398,312-435-1398,60008,IL6953,1015.3,100.7,1/1/2022,4/29/2022,5/2/2022
CRN-1000,Individual,Canada,Platinum,ProdTier4,ABC1399,312-435-1399,80018,IL6954,514.3,51.7,1/1/2022,2/9/2022,2/12/2022
CRN-1000,Individual,USA,Gold,ProdTier18,ABC1400,312-435-1400,60012,IL6955,1020.6,102.1,1/1/2022,3/31/2022,4/1/2022
CRN-1000,Individual,Canada,Silver,ProdTier13,ABC1401,312-435-1401,80023,IL6956,512.7,51.5,1/1/2022,3/12/2022,3/13/2022
CRN-1000,Individual,USA,Platinum,ProdTier16,ABC1402,312-435-1402,60012,IL6957,1022.1,101.7,1/1/2022,3/30/2022,4/4/2022
CRN-1000,Individual,Canada,Gold,ProdTier28,ABC1403,312-435-1403,80008,IL6958,511.3,51.2,1/1/2022,3/25/2022,3/30/2022
CRN-1000,Individual,USA,Silver,ProdTier20,ABC1404,312-435-1404,60044,IL6959,1004.6,101,1/1/2022,3/9/2022,3/10/2022
CRN-1000,Individual,Canada,Platinum,ProdTier25,ABC1405,312-435-1405,80038,IL6960,516,50.7,1/1/2022,2/19/2022,2/24/2022
CRN-1000,Individual,USA,Gold,ProdTier13,ABC1406,312-435-1406,60018,IL6961,1009.7,101,1/1/2022,2/16/2022,2/18/2022
CRN-1000,Individual,Canada,Silver,ProdTier6,ABC1407,312-435-1407,80020,IL6962,505.5,50.8,1/1/2022,1/16/2022,1/21/2022
CRN-1000,Individual,USA,Platinum,IRALoan,ABC1408,312-435-1408,60005,IL6963,1004,100.5,1/1/2022,1/17/2022,1/20/2022
CRN-1000,Individual,Canada,Gold,ProdTier1,ABC1409,312-435-1409,80023,IL6964,524.6,52.2,1/1/2022,2/4/2022,2/6/2022
CRN-1000,Individual,USA,Silver,StockLoan,ABC1410,312-435-1410,60036,IL6965,1021.6,102.3,1/1/2022,3/14/2022,3/16/2022
CRN-1000,Individual,Canada,Platinum,ProdTier4,ABC1411,312-435-1411,80007,IL6966,520.4,51.5,1/1/2022,4/14/2022,4/15/2022
CRN-1000,Individual,USA,Gold,ProdTier2,ABC1412,312-435-1412,60031,IL6967,1020.3,101.9,1/1/2022,3/2/2022,3/4/2022
CRN-1000,Individual,Canada,Silver,ProdTier9,ABC1413,312-435-1413,80038,IL6968,515.6,52.1,1/1/2022,3/20/2022,3/23/2022
CRN-1000,Individual,USA,Platinum,ProdTier3,ABC1414,312-435-1414,60050,IL6969,1025,102.1,1/1/2022,4/13/2022,4/14/2022
CRN-1000,Individual,Canada,Gold,ProdTier7,ABC1415,312-435-1415,80026,IL6970,520.3,52.4,1/1/2022,2/24/2022,2/28/2022
CRN-1000,Individual,USA,Silver,ProdTier27,ABC1416,312-435-1416,60009,IL6971,1026.8,102.2,1/1/2022,2/1/2022,2/3/2022
CRN-1000,Individual,Canada,Platinum,ProdTier9,ABC1417,312-435-1417,80009,IL6972,513.4,50.7,1/1/2022,4/15/2022,4/17/2022
CRN-1000,Individual,USA,Gold,ProdTier20,ABC1418,312-435-1418,60014,IL6973,1007.2,100.5,1/1/2022,4/24/2022,4/28/2022
CRN-1000,Individual,Canada,Silver,ProdTier4,ABC1419,312-435-1419,80021,IL6974,514.7,52,1/1/2022,1/4/2022,1/7/2022
CRN-1000,Individual,USA,Platinum,ProdTier30,ABC1420,312-435-1420,60036,IL6975,1025.2,102.7,1/1/2022,2/28/2022,3/3/2022
CRN-1000,Individual,Canada,Gold,ProdTier27,ABC1421,312-435-1421,80006,IL6976,508.5,50.9,1/1/2022,1/3/2022,1/5/2022
CRN-1000,Individual,USA,Silver,ProdTier26,ABC1422,,60017,IL6977,1025,102.1,1/1/2022,3/5/2022,3/10/2022
CRN-1000,Individual,Canada,Platinum,ProdTier30,ABC1423,,80016,IL6978,506.5,51.4,1/1/2022,2/23/2022,2/26/2022
CRN-1000,Individual,USA,Gold,ProdTier25,ABC1424,312-435-1424,60045,IL6979,1016.3,102.1,1/1/2022,1/14/2022,1/18/2022
CRN-1000,Individual,Canada,Silver,ProdTier8,ABC1425,312-435-1425,80027,IL6980,512.5,51.1,1/1/2022,3/5/2022,3/8/2022
CRN-1000,Individual,USA,Platinum,ProdTier7,ABC1426,312-435-1426,60010,IL6981,1011.4,101,1/1/2022,1/10/2022,1/12/2022
CRN-1000,Individual,Canada,Gold,ProdTier10,ABC1427,312-435-1427,80003,IL6982,510.6,50.4,1/1/2022,3/31/2022,4/3/2022
